Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-03-24 00:00:00+05:30,2734.98475169422,2771.114907951341,2734.9407549135854,2743.687744140625,2207104,0.0,0.0
2021-03-25 00:00:00+05:30,2735.8631775195627,2752.258091028489,2681.1846354192803,2694.239013671875,3179786,0.0,0.0
2021-03-26 00:00:00+05:30,2716.918980645141,2740.9618201102044,2675.075048275299,2695.953125,3697370,0.0,0.0
2021-03-30 00:00:00+05:30,2710.194572009367,2802.8932049268724,2690.766883164461,2776.60888671875,4694008,0.0,0.0
2021-03-31 00:00:00+05:30,2773.487955724415,2817.441806052853,2753.269184573334,2793.574951171875,3530069,0.0,0.0
2021-04-01 00:00:00+05:30,2805.2225588414717,2826.232412232795,2764.697025341257,2782.278564453125,4285076,0.0,0.0
2021-04-05 00:00:00+05:30,2787.553427745333,2868.4285193103187,2769.971886100771,2847.24267578125,5317862,0.0,0.0
2021-04-06 00:00:00+05:30,2878.9768984351203,2878.9768984351203,2839.4184372352483,2869.92236328125,2291562,0.0,0.0
2021-04-07 00:00:00+05:30,2864.9115442831585,2881.2184632873655,2843.637926767542,2875.81201171875,2491268,0.0,0.0
2021-04-08 00:00:00+05:30,2874.581915217592,2931.7219227066266,2871.1096038400187,2916.206298828125,2578118,0.0,0.0
2021-04-09 00:00:00+05:30,2948.4248606107494,2948.7326234710144,2907.9873103459627,2920.51416015625,2911129,0.0,0.0
2021-04-12 00:00:00+05:30,2920.5136164862206,2934.4470730375683,2824.650224965105,2853.967529296875,3791828,0.0,0.0
2021-04-13 00:00:00+05:30,2825.3539523441095,2825.3539523441095,2701.448071315433,2728.699462890625,8654596,0.0,0.0
2021-04-15 00:00:00+05:30,2778.147294061527,2845.7922313533463,2714.1064439685506,2829.705078125,6062760,0.0,0.0
2021-04-16 00:00:00+05:30,2838.539556337448,2854.3629419100944,2797.7504704864327,2808.78271484375,3224657,0.0,0.0
2021-04-19 00:00:00+05:30,2785.7951320593206,2803.3766728107203,2755.9945063330647,2779.4658203125,2679106,0.0,0.0
2021-04-20 00:00:00+05:30,2835.02346298085,2835.331225793192,2748.302598557501,2764.3017578125,3141893,0.0,0.0
2021-04-22 00:00:00+05:30,2767.334041248242,2767.334041248242,2729.753504315789,2741.6650390625,1988980,0.0,0.0
2021-04-23 00:00:00+05:30,2729.534143649376,2741.8412219138177,2717.2710621595616,2733.489990234375,1615309,0.0,0.0
2021-04-26 00:00:00+05:30,2726.940398802249,2771.7293216051144,2714.6333228420613,2725.841552734375,2490260,0.0,0.0
2021-04-27 00:00:00+05:30,2730.41255774565,2756.872855437213,2727.7753273292824,2753.2685546875,1471417,0.0,0.0
2021-04-28 00:00:00+05:30,2769.0482277580213,2769.9713014232066,2735.687302452878,2746.32421875,1639037,0.0,0.0
2021-04-29 00:00:00+05:30,2765.2245045336585,2775.5536585645473,2729.9734334404593,2738.54443359375,1621395,0.0,0.0
2021-04-30 00:00:00+05:30,2724.259683391263,2753.3132218090022,2654.812598851763,2668.570068359375,3072305,0.0,0.0
2021-05-03 00:00:00+05:30,2659.1199184421807,2685.5802218600797,2640.7472950794368,2669.7568359375,1545831,0.0,0.0
2021-05-04 00:00:00+05:30,2692.437330880178,2716.3481845976103,2667.9989450659377,2680.96533203125,1990777,0.0,0.0
2021-05-05 00:00:00+05:30,2698.765922236356,2724.6106957094466,2683.294083870649,2721.358154296875,1939289,0.0,0.0
2021-05-06 00:00:00+05:30,2729.9736363116353,2755.027330929211,2702.282710681683,2735.2041015625,1791671,0.0,0.0
2021-05-07 00:00:00+05:30,2754.148052135079,2777.751353813853,2735.5116639367457,2754.06005859375,1912540,0.0,0.0
2021-05-10 00:00:00+05:30,2765.531772127403,2781.5749246329046,2747.1151550516115,2765.13623046875,2137153,0.0,0.0
2021-05-11 00:00:00+05:30,2747.1155582763954,2749.8407827575666,2717.358716701784,2745.005859375,2415625,0.0,0.0
2021-05-12 00:00:00+05:30,2742.720290729441,2742.720290729441,2699.2939719735896,2714.23828125,1978558,0.0,0.0
